,dG0,sdG0
R_10FTHFGLULL,-35.5774695974,3.74357181182
R_10FTHFGLULLm,-35.5774695974,3.74357181182
R_10FTHFtl,0.0,0.0
R_10FTHFtm,0.0,0.0
R_10FTHFtx,0.0,0.0
R_11DOCRTSLtm,0.0,0.0
R_11DOCRTSLtr,0.0,0.0
R_11DOCRTSTRNtm,0.0,0.0
R_11DOCRTSTRNtr,0.0,0.0
R_12PPDRDH,-39.4301104215,1.26721259853
R_12PPDRtex,0.0,0.0
R_12PPDRtpp,0.0,0.0
R_12PPDStex,0.0,0.0
R_12PPDStpp,0.0,0.0
R_12PPDt,0.0,0.0
R_13HODEOR,19.8531328933,0.975026675028
R_13HPODEDH,0.0,0.0
R_13PPDH,-22.3304173813,1.00950508949
R_13PPDtex,0.0,0.0
R_13PPDtpp,0.0,0.0
R_16GS,0.0,0.0
R_1ACPCth,0.0,0.0
R_1ACPCtm,0.0,0.0
R_1MNCAMti,-25.7805434027,0.30790191248
R_1PPDCRc,-21.7061270469,1.20847120688
R_1PPDCRp,-21.5203366124,1.25526860794
R_1a_24_25VITD3Hm,-407.826991432,3.25156014611
R_23CAMPtex,0.0,0.0
R_23CCMPtex,0.0,0.0
R_23CGMPtex,0.0,0.0
R_23CN2P1,-34.7664164053,2.92522294271
R_23CN2P2,-35.399982051,2.92522294271
R_23CN2P3,-34.7512273698,2.92522294271
R_23CN2P4,-34.7279187762,2.92522294271
R_23CUMPtex,0.0,0.0
R_23DAPPAt2pp,0.0,0.0
R_23DAPPAtex,0.0,0.0
R_23DHMBth,0.0,0.0
R_23DHMBtm,0.0,0.0
R_23DHMPth,0.0,0.0
R_23PDE2pp,-35.399982051,2.92522294271
R_23PDE4pp,-34.7512273698,2.92522294271
R_23PDE7pp,-34.7664164053,2.92522294271
R_23PDE9pp,-34.7279187762,2.92522294271
R_24_25DHVITD3t,0.0,0.0
R_24_25DHVITD3tm,0.0,0.0
R_24_25VITD3Hm,-396.777561507,3.09957775029
R_25HVITD3t,0.0,0.0
R_25HVITD3tin,0.0,0.0
R_25HVITD3tin_m,0.0,0.0
R_25HVITD3tm,0.0,0.0
R_26DAHtex,0.0,0.0
R_2AMACSULT,-346.772356922,70710.6781877
R_2AMADPTm,0.0,0.0
R_2DDA7Ptm,0.0,0.0
R_2DGLCNRx,-17.4656830309,0.954924022186
R_2DGLCNRy,-17.6514734653,0.892515135963
R_2DHGLCK,-7.84846317668,3.53347190587
R_2DHGLCNkt_tpp,0.0,0.0
R_2DHGLCNtex,0.0,0.0
R_2DHPFALDL,19.9054989739,4.99030423386
R_2DHPtm,0.0,0.0
R_2DHPtn,0.0,0.0
R_2DOXG6PP,-14.0800722546,1.23002388087
R_2DR1PP,-23.7682594066,2.6917007508
R_2HBO,18.3156703191,1.70903637051
R_2HBt2,0.0,0.0
R_2HCO3_NAt,0.0,0.0
R_2INSD,-45.4900465796,2.05885668984
R_2MAHMP,-22.4432591252,1.79457576385
R_2MBALDt,0.0,0.0
R_2MBALDtm,0.0,0.0
R_2MCITt,0.0,0.0
R_2MCITtm,0.0,0.0
R_2OBUTt2ipp,0.0,0.0
R_2OBUTtex,0.0,0.0
R_2OBUTtm,0.0,0.0
R_2OH3K5MPPISO,-14.3286839755,1.23002388087
R_2OXOADOXm,-34.5679556324,3.70021860128
R_2OXOADPTm,0.0,0.0
R_2OXOADPtim,0.0,0.0
R_2PGLYCt6,0.0,0.0
R_2PGLYCth,0.0,0.0
R_2PGLYCtx,0.0,0.0
R_2PGt6,0.0,0.0
R_2PGt6pp,0.0,0.0
R_2PGtex,0.0,0.0
R_2PGth,0.0,0.0
R_2PGtm,0.0,0.0
R_2PHETOHt,0.0,0.0
R_2PHETOHtm,0.0,0.0
R_2PLS,-6.03437681747,2.12744348783
R_2S6HCCi,-99.6931033942,4.12884517004
R_34DHALDD,-38.2035550697,1.11652288576
R_34DHCINMtex,0.0,0.0
R_34DHCINMtpp,0.0,0.0
R_34DHOXPEGOX,-22.3297412797,1.00950508949
R_34DHOXPEGt,0.0,0.0
