model	organism	genus	kingdom
iCN718	Acinetobacter baumannii AYE	Acinetobacter	Bacteria
iYO844	Bacillus subtilis subsp. subtilis str. 168	Bacillus	Bacteria
iRC1080	Chlamydomonas reinhardtii	Chlamydomonas	Eukarya
iCN900	Clostridioides difficile 630	Clostridioides	Bacteria
iHN637	Clostridium ljungdahlii DSM 13528	Clostridium	Bacteria
iCHOv1_DG44	Cricetulus griseus	Cricetulus	Eukarya
iCHOv1	Cricetulus griseus	Cricetulus	Eukarya
iECBD_1354	Escherichia coli 'BL21-Gold(DE3)pLysS AG'	Escherichia	Bacteria
iEC042_1314	Escherichia coli 042	Escherichia	Bacteria
iECP_1309	Escherichia coli 536	Escherichia	Bacteria
iEC55989_1330	Escherichia coli 55989	Escherichia	Bacteria
iECABU_c1320	Escherichia coli ABU 83972	Escherichia	Bacteria
iAPECO1_1312	Escherichia coli APEC O1	Escherichia	Bacteria
iEcolC_1368	Escherichia coli ATCC 8739	Escherichia	Bacteria
iEC1349_Crooks	Escherichia coli ATCC 8739	Escherichia	Bacteria
iECB_1328	Escherichia coli B str. REL606	Escherichia	Bacteria
iB21_1397	Escherichia coli BL21(DE3)	Escherichia	Bacteria
iEC1356_Bl21DE3	Escherichia coli BL21(DE3)	Escherichia	Bacteria
iECD_1391	Escherichia coli BL21(DE3)	Escherichia	Bacteria
iBWG_1329	Escherichia coli BW2952	Escherichia	Bacteria
iEC1344_C	Escherichia coli C	Escherichia	Bacteria
ic_1306	Escherichia coli CFT073	Escherichia	Bacteria
iEcDH1_1363	Escherichia coli DH1	Escherichia	Bacteria
iECDH1ME8569_1439	Escherichia coli DH1	Escherichia	Bacteria
iEC1368_DH5a	Escherichia coli DH5[alpha]	Escherichia	Bacteria
iECED1_1282	Escherichia coli ED1a	Escherichia	Bacteria
iETEC_1333	Escherichia coli ETEC H10407	Escherichia	Bacteria
iEcHS_1320	Escherichia coli HS	Escherichia	Bacteria
iECIAI1_1343	Escherichia coli IAI1	Escherichia	Bacteria
iECIAI39_1322	Escherichia coli IAI39	Escherichia	Bacteria
iECOK1_1307	Escherichia coli IHE3034	Escherichia	Bacteria
iEKO11_1354	Escherichia coli KO11FL	Escherichia	Bacteria
