reaction	lb	ub
R_12DGR120tipp	0	1000
R_12DGR140tipp	0	1000
R_12DGR141tipp	0	1000
R_12DGR160tipp	0	1000
R_12DGR161tipp	0	1000
R_12DGR180tipp	0	1000
R_12DGR181tipp	0	1000
R_12PPDRtex	-1000	1000
R_12PPDRtpp	-1000	1000
R_12PPDStex	-1000	1000
R_12PPDStpp	-1000	1000
R_13PPDH2	-1000	1000
R_14GLUCANabcpp	0	1000
R_14GLUCANtexi	0	1000
R_23CAMPtex	-1000	1000
R_23CCMPtex	-1000	1000
R_23CGMPtex	-1000	1000
R_23CUMPtex	-1000	1000
R_23DAPPAt2pp	0	1000
R_23DAPPAtex	-1000	1000
R_23DOGULNt4pp	0	1000
R_23PDE2pp	0	1000
R_23PDE4pp	0	1000
R_23PDE7pp	0	1000
R_23PDE9pp	0	1000
R_26DAHtex	-1000	1000
R_2AGPA120tipp	0	1000
R_2AGPA140tipp	0	1000
R_2AGPA141tipp	0	1000
R_2AGPA160tipp	0	1000
R_2AGPA161tipp	0	1000
R_2AGPA180tipp	0	1000
R_2AGPA181tipp	0	1000
R_2AGPE120tipp	0	1000
R_2AGPE140tipp	0	1000
R_2AGPE141tipp	0	1000
R_2AGPE160tipp	0	1000
R_2AGPE161tipp	0	1000
R_2AGPE180tipp	0	1000
R_2AGPE181tipp	0	1000
R_2AGPEAT120	0	1000
R_2AGPEAT140	0	1000
R_2AGPEAT141	0	1000
R_2AGPEAT160	0	1000
R_2AGPEAT161	0	1000
R_2AGPEAT180	0	1000
R_2AGPEAT181	0	1000
R_2AGPG120tipp	0	1000
R_2AGPG140tipp	0	1000
R_2AGPG141tipp	0	1000
R_2AGPG160tipp	0	1000
R_2AGPG161tipp	0	1000
R_2AGPG180tipp	0	1000
R_2AGPG181tipp	0	1000
R_2AGPGAT120	0	1000
R_2AGPGAT140	0	1000
R_2AGPGAT141	0	1000
R_2AGPGAT160	0	1000
R_2AGPGAT161	0	1000
R_2AGPGAT180	0	1000
R_2AGPGAT181	0	1000
R_2DDARAA	-1000	1000
R_2DGLCptspp	0	1000
R_2DGLCtex	-1000	1000
R_2DGULRGx	0	1000
R_2DGULRGy	0	1000
R_2DGULRx	0	1000
R_2DGULRy	0	1000
R_2DOXG6PP	0	1000
R_2HESR	0	1000
R_2HPTCOAT	0	1000
R_2MAHMP	0	1000
R_34dhpactex	-1000	1000
R_3AMACHYD	0	1000
R_3AMPtex	-1000	1000
R_3CMPtex	-1000	1000
R_3GMPtex	-1000	1000
R_3HAD100	0	1000
R_3HAD120	0	1000
R_3HAD121	0	1000
R_3HAD140	0	1000
R_3HAD141	0	1000
R_3HAD160	0	1000
R_3HAD161	0	1000
R_3HAD180	0	1000
R_3HAD181	0	1000
R_3HAD40	0	1000
R_3HAD60	0	1000
R_3HAD80	0	1000
R_3HBZCT	0	1000
R_3HCINNMH	0	1000
R_3HPADHi	0	1000
R_3HPPPNH	0	1000
R_3HPPtex	-1000	1000
R_3HPPtpp	0	1000
R_3KGK	0	1000
R_3NTD2pp	0	1000
R_3NTD4pp	0	1000
R_3NTD7pp	0	1000
R_3NTD9pp	0	1000
R_3OAR100	-1000	1000
R_3OAR120	-1000	1000
R_3OAR121	0	1000
R_3OAR140	-1000	1000
R_3OAR141	0	1000
R_3OAR160	-1000	1000
R_3OAR161	0	1000
R_3OAR180	-1000	1000
R_3OAR181	0	1000
R_3OAR40	-1000	1000
R_3OAR60	-1000	1000
R_3OAR80	-1000	1000
R_3OAS100	0	1000
R_3OAS120	0	1000
R_3OAS121	0	1000
R_3OAS140	0	1000
R_3OAS141	0	1000
R_3OAS160	0	1000
R_3OAS161	0	1000
R_3OAS180	0	1000
R_3OAS181	0	1000
R_3OAS60	0	1000
R_3OAS80	0	1000
R_3OXCOAT	0	1000
R_3PEPTabcpp	0	1000
R_3PEPTtex	-1000	1000
R_3SLAR	0	1000
R_3UMPtex	-1000	1000
R_42A12BOOXpp	0	1000
R_4ABZGLUH	-1000	1000
R_4ABZGLUtex	-1000	1000
R_4ABZGLUtr	-1000	1000
R_4HBZt3pp	0	1000
R_4HOXPACDtex	-1000	1000
R_4HTHRA	-1000	1000
R_4HTHRK	0	1000
R_4PCP	0	1000
R_4PCPpp	0	1000
R_4PEPTabcpp	0	1000
R_4PEPTtex	-1000	1000
R_5DGLCNR	0	1000
R_5DGLCNt2rpp	-1000	1000
R_5DGLCNtex	-1000	1000
R_5DKGR	-1000	1000
R_5DOAN	0	1000
R_5MTRtex	-1000	1000
R_5MTRtpp	0	1000
R_6D6SFK	0	1000
R_6D6SPA	0	1000
R_A5PISO	-1000	1000
R_AACPS1	0	1000
R_AACPS2	0	1000
R_AACPS3	0	1000
R_AACPS4	0	1000
R_AACPS5	0	1000
R_AACPS6	0	1000
R_AACPS7	0	1000
R_AACPS8	0	1000
R_AACPS9	0	1000
R_AACTOOR	0	1000
R_AADDGT	0	1000
R_AAMYL	0	1000
R_AAMYLpp	0	1000
R_AB6PGH	0	1000
R_ABTA	0	1000
R_ABUTD	0	1000
R_ABUTt2pp	0	1000
R_ABUTtex	-1000	1000
R_ACACCT	0	1000
R_ACACT1r	-1000	1000
R_ACACT2r	-1000	1000
R_ACACT3r	-1000	1000
R_ACACT4r	-1000	1000
R_ACACT5r	-1000	1000
R_ACACT6r	-1000	1000
R_ACACT7r	-1000	1000
R_ACACT8r	-1000	1000
R_ACACt2pp	-1000	1000
R_ACACtex	-1000	1000
R_ACALD	-1000	1000
R_ACALDtex	-1000	1000
R_ACALDtpp	-1000	1000
R_ACANTHAT	0	1000
R_ACBIPGT	0	1000
R_ACCOAC	0	1000
R_ACCOAL	0	1000
R_ACGAL1PPpp	0	1000
R_ACGAL1Ptex	-1000	1000
R_ACGALtex	-1000	1000
R_ACGAM1PPpp	0	1000
R_ACGAM1Ptex	-1000	1000
R_ACGAMK	0	1000
R_ACGAMT	0	1000
R_ACGAptspp	0	1000
R_ACGAtex	-1000	1000
R_ACGK	0	1000
R_ACGS	0	1000
R_ACHBS	0	1000
R_ACKr	-1000	1000
R_ACLS	0	1000
R_ACM6PH	0	1000
R_ACMAMUT	0	1000
R_ACMANAptspp	0	1000
R_ACMANAtex	-1000	1000
R_ACMUMptspp	0	1000
R_ACMUMtex	0	1000
R_ACNAMt2pp	0	1000
R_ACNAMtex	-1000	1000
R_ACNML	0	1000
R_ACOAD1f	0	1000
