BiGG	formula	charge
10fthf	C20H21N7O7	-2.0
10fthf5glu	C40H45N11O19	-6.0
10fthf6glu	C45H51N12O22	-7.0
10fthf7glu	C50H57N13O25	-8.0
11docrtsl	C21H30O4	0.0
11docrtstrn	C21H30O3	0.0
12HPET	C20H31O4	-1.0
12d3k5m	C6H10O3S	0.0
12dgr120	C27H52O5	0.0
12dgr140	C31H60O5	0.0
12dgr141	C31H56O5	0.0
12dgr160	C35H68O5	0.0
12dgr161	C35H64O5	0.0
12dgr180	C39H76O5	0.0
12dgr181	C39H72O5	0.0
12harachd	C20H31O3	-1.0
12htacr	C44H69NO13	0.0
12ppd__R	C3H8O2	0.0
12ppd__S	C3H8O2	0.0
1331tacr	C42H65NO12	0.0
13_cis_oretn	C20H25O3	-1.0
13_cis_retn	C20H28O2	0.0
13_cis_retnglc	C26H35O8	-1.0
13dampp	C3H12N2	2.0
13dmt	C43H67NO12	0.0
13dpg	C3H4O10P2	-4.0
13ppd	C3H8O2	0.0
14dhncoa	C32H38N7O19P3S	-4.0
14glucan	C36H62O31	0.0
14hmdz	C18H13ClFN3O2	0.0
1513tacr	C42H65NO12	0.0
1531tacr	C42H65NO12	0.0
15HPET	C20H31O4	-1.0
15dap	C5H16N2	2.0
15dmt	C43H67NO12	0.0
15kprostgf2	C20H31O5	-1.0
16BDglcn	C12H20O11*	0.0
17ahprgnlone	C21H32O3	0.0
17ahprgstrn	C21H30O3	0.0
18harachd	C20H31O3	-1.0
1a2425thvitd2	C28H44O4	0.0
1a2425thvitd3	C27H44O4	0.0
1a25dhvitd2	C28H44O3	0.0
1a25dhvitd3	C27H44O3	0.0
1acpc	C4H7NO2	0.0
1agpe120	C17H36NO7P	0.0
1agpe140	C19H40NO7P	0.0
1agpe141	C19H38NO7P	0.0
1agpe160	C21H44NO7P	0.0
1agpe161	C21H42NO7P	0.0
1agpe180	C23H48NO7P	0.0
1agpe181	C23H46NO7P	0.0
1agpg120	C18H36O9P	-1.0
1agpg140	C20H40O9P	-1.0
1agpg141	C20H38O9P	-1.0
1agpg160	C22H44O9P	-1.0
1agpg161	C22H43O9P	0.0
1agpg180	C24H48O9P	-1.0
1agpg181	C24H46O9P	-1.0
1btol	C4H10O	0.0
1ddecg3p	C15H29O7P	-2.0
1hdecg3p	C19H37O7P	-2.0
1hmdgluc	C24H21ClFN3O7	0.0
1mncam	C7H9N2O	1.0
1mpyr	C5H10N	1.0
1odec11eg3p	C21H39O7P	-2.0
1odecg3p	C21H41O7P	-2.0
1ohmdz	C18H13ClFN3O	0.0
1p2cbxl	C5H7NO2	0.0
1p3h5c	C5H6NO3	-1.0
1pipdn2c	C6H9NO2	0.0
1pyr5c	C5H6NO2	-1.0
1tdec7eg3p	C17H31O7P	-2.0
1tdecg3p	C20H40O9P	-1.0
20ahchsterol	C27H46O2	0.0
21hprgnlone	C21H32O3	0.0
23camp	C10H11N5O6P	-1.0
23ccmp	C9H11N3O7P	-1.0
23cgmp	C10H11N5O7P	-1.0
23cump	C9H10N2O8P	-1.0
23dappa	C3H8N2O2	0.0
23ddhb	C7H8O4	0.0
23dh1i56dio	C8H7NO2	0.0
23dhb	C7H5O4	-1.0
23dhba	C17H17N5O10P	-1.0
23dhbzs	C10H11NO6	0.0
23dhdp	C7H5NO4	-2.0
23dhmb	C5H9O4	-1.0
23dhmp	C6H11O4	-1.0
23dmphol	C28H48O2	0.0
23doguln	C6H7O7	-1.0
23dpg	C3H3O10P2	-5.0
2425dhvitd2	C28H44O3	0.0
2425dhvitd3	C27H44O3	0.0
24dab	C4H11N2O2	1.0
24nph	C6H4NO4	-1.0
25aics	C13H15N4O12P	-4.0
25dhpp	C9H14N5O8P	-2.0
25dkglcn	C6H7O7	-1.0
25dop	C5H5O4	-1.0
25drapp	C9H14N5O8P	-2.0
25hvitd2	C28H44O2	0.0
25hvitd3	C27H44O2	0.0
26dap_LL	C7H14N2O4	0.0
26dap__M	C7H14N2O4	0.0
26dmani	C8H11N	0.0
2a3pp	C3H8NO5P	0.0
2agpe120	C17H36NO7P	0.0
2agpe140	C19H40NO7P	0.0
2agpe141	C19H38NO7P	0.0
2agpe160	C21H44NO7P	0.0
2agpe180	C23H48NO7P	0.0
2agpe181	C23H46NO7P	0.0
2agpg140	C20H40O9P	-1.0
2agpg141	C20H38O9P	-1.0
