Reaction,lb,ub
R_ACACT5r,-1000,0
R_ACOAD5f,0,1000
R_ADHEr,0,1000
R_ATPS1,0,0
R_ATPS10_3,0,0
R_ATPS10rpp,0,0
R_ATPS4r,0,0
R_ATPS4rpp,0,1000
R_ATPS4rpp_1,0,0
R_BTS2,0,1000
R_CODH2r,0,1000
R_CYS,0,1000
R_FDH5r2pp,0,1000
R_FDH7,0,1000
R_FRD2rpp,0,1000
R_FRD5,0,1000
R_FRDO3r,0,1000
R_FRNDPR2r,0,1000
R_FRNDPR2r_1,0,1000
R_GLYTA,0,1000
R_H2ASE_syn,-1000,0
R_HSTPTr,0,1000
R_ICH,0,1000
R_LDH_D1,0,1000
R_MAN1PT,0,1000
R_MGt5,-1000,0
R_MOX,0,1000
R_MTHFD2i,0,1000
R_NADH2r,0,1000
R_NADHNQR,0,1000
R_NAPRT,0,1000
R_NAt,0,1000
R_OIVD1r,0,1000
R_OOR2r,0,1000
R_PHTHCLR1,0,1000
R_POR,0,1000
R_POR5,0,1000
R_POX2,0,1000
R_PPAAFDOR,0,1000
R_PPCCYTC1pp,-1000,0
R_PPK2r,0,1000
R_PPKr,0,1000
R_PYDXO,-1000,0
R_QRr,0,1000
R_SHSL4r,0,1000
R_SUCD3,0,1000
R_SUCD4,0,1000
R_THD2,0,1000
R_VPAMTr,0,1000
R_YUMPS,0,1000
R_CITt14,0,0
