bigg,kegg,ecoli,yeast,mammalian
M_13dpg_c,C00236,0.0000165,0.00000491,0.00000224
M_23dpg_c,C01159,0.0000829,0.0000361,0.000237
M_23dhb_c,C00196,0.000138,,
M_2dhguln_c,C06473,,,0.00000277
M_2pg_c,C00631,0.0000918,0.0000238,0.00000949
M_3pg_c,C00197,0.00154,0.000578,0.000375
M_pser__L_c,C01005,,,0.00044
M_4hbz_c,C00156,0.0000522,,
M_6pgc_c,C00345,0.00377,0.000243,0.0000165
M_aacoa_c,C00332,0.0000218,,
M_accoa_c,C00024,0.000606,0.0000436,0.0000288
M_actp_c,C00227,0.00107,,
M_acon_C_c,C00417,0.0000161,,0.000011
M_acser_c,C00979,,,0.0000572
M_ade_c,C00147,0.00000147,,
M_adn_c,C00212,0.000000131,,
M_aps_c,C00224,0.00000663,,
M_adp_c,C00008,0.000555,0.000488,0.000569
M_adpglc_c,C00498,0.00000427,,
M_akg_c,C00026,0.000443,0.000848,0.000797
M_ala__L_c,C00041,0.00255,0.0223,0.00698
M_amp_c,C00020,0.000281,0.0000812,0.0000423
M_anth_c,C00108,0.00000348,,
M_arg__L_c,C00062,0.000569,0.0218,0.000255
M_asn__L_c,C00152,0.000511,0.00569,0.000215
M_asp__L_c,C00049,0.00423,0.00629,0.0149
M_atp_c,C00002,0.00963,0.00193,0.00467
M_cbasp_c,C00438,0.00059,,
M_co2_c,C00011,0.0000752,0.0000816,0.00763
M_co2_m,C00011,,0.0000771,0.00653
M_cit_c,C00158,0.00196,0.00149,0.000584
M_citr__L_c,C00327,0.00135,0.027,
M_cmp_c,C00055,0.00036,0.00000518,0.0000118
M_coa_c,C00010,0.00137,,
M_coa_m,C00010,,0.0049,0.00404
M_ctp_c,C00063,0.00273,0.000249,0.000897
M_camp_c,C00575,0.0000352,0.0000004,0.00000013
M_cys__L_c,C00097,,,0.000084
M_cytd_c,C00475,0.00000259,,
M_csn_c,C00380,0.0000141,,
M_damp_c,C00360,0.00000884,,0.0000168
M_datp_c,C00131,0.0000155,0.00000978,0.000000974
M_dcdp_c,C00705,,,0.00000182
M_dcmp_c,C00239,,,0.0000371
M_dctp_c,C00458,0.0000345,0.00000446,
M_dad_2_c,C00559,0.00000282,,
M_dgsn_c,C00330,0.000000522,,
M_2dr5p_c,C00673,0.000303,,
M_dgmp_c,C00362,0.0000507,,
M_dhor__S_c,C00337,0.0000119,,0.000735
M_dhap_c,C00111,0.00306,0.000823,0.00163
M_dtdp_c,C00363,0.000378,,
M_dtmp_c,C00364,,,0.0000118
M_dttp_c,C00459,0.00462,,
M_e4p_c,C00279,0.000049,0.0000146,0.0000103
M_fad_c,C00016,0.000173,0.0000353,0.0000056
M_fmn_c,C00061,0.0000537,,
M_fdp_c,C00354,0.0152,0.004,0.00152
M_f6p_c,C00085,0.00252,0.00237,0.0000969
M_fum_c,C00122,0.000288,0.000121,0.000387
M_fum_m,C00122,,0.000124,0.000485
M_gdp_c,C00035,0.000676,0.0000421,0.0000302
M_glcn_c,C00257,0.0000416,0.0000951,0.000211
M_gam6p_c,C00352,0.00115,,
M_g6p_c,C00092,0.00788,0.00531,0.000675
M_glu__L_c,C00025,0.096,0.0391,0.0638
M_gln__L_c,C00064,0.00381,0.0355,0.0172
M_gthrd_c,C00051,0.0166,0.0043,0.00309
M_gthox_c,C00127,0.00237,0.0000973,0.000018
M_g3p_c,C00661,0.000271,0.000118,0.000141
M_glyc__R_c,C00258,0.00141,,
M_gly_c,C00037,,,0.00371
M_gmp_c,C00144,0.0000237,0.0000102,0.0000181
M_gtp_c,C00044,0.00487,0.000247,0.000677
M_gua_c,C00242,0.000188,,
M_gsn_c,C00387,0.00000162,,0.00000135
M_his__L_c,C00135,0.0000676,,0.00041
M_histd_c,C00860,0.0000128,,
M_hcys__L_c,C00155,0.00037,,
M_idp_c,C00104,0.0000238,,
M_imp_c,C00130,0.000272,0.000038,0.0000123
M_ins_c,C00294,,0.00000612,0.00000133
M_icit_c,C00311,0.0000367,,
M_icit_m,C00311,,0.00000579,0.0000321
M_ile__L_c,C00407,0.000152,0.000353,0.00176
M_itp_c,C00081,0.000205,,
