bigg_id	comp	seed_id	@bacteria	@grampos	@gramneg	@archaea	@iAF1260	@iJO1366	@iYO844	@iAF692	name	observations
10fthf	c	cpd00201	-0.000223	-0.000223	-0.000223	-0.000223	-0.000223	-0.000223	-0.000367		10-Formyltetrahydrofolate	cofactor
2fe2s	c	cpd24604						-2.6E-05			[2Fe-2S] iron-sulfur cluster	cofactor
2ohph	c	cpd03445					-0.000223	-0.000223			2-Octaprenyl-6-hydroxyphenol	cofactor
3hdpgpe	c	cpd15817				-0.025				-0.002698	2-O-(3'-hydroxy)phytanyl-3-O-phytanyl-sn-glycero-l-phosphoethanolamine	lipid
3hdpgpg	c	cpd15818				-0.025				-0.01012	2-O-(3'-hydroxy)phytanyl-3-O-phytanyl-sn-glycerol-1-phospho-3'-sn-glycerol	lipid
3hdpgpi	c	cpd15819				-0.025				-0.01349	2-O-(3'-hydroxyl)phytanyl-3-O-phytanyl-sn-glycero-1-phospho-myo-inositol	lipid
3hdpgps	c	cpd15820				-0.025				-0.01147	2-O-(3'-hydroxy)phytanyl-3-O-phytanyl-sn-glycero-l-phosphoserine	lipid
4fe4s	c	cpd24682						-0.00026			[4Fe-4S] iron-sulfur cluster	cofactor
accoa	c	cpd00022								-5E-05	Acetyl-CoA	cofactor
adocblhbi	c	cpd15834								-0.00474	Adenosylcobalamin-HBI	cofactor
adp	c	cpd00008	53.95	53.95	53.95	53.95	59.81	53.95	104.997414	29.998	ADP	cofactor
ala__L	c	cpd00035	-0.513689	-0.513689	-0.513689	-0.513689	-0.5137	-0.513689	-0.266902	-0.5621	L-Alanine	protein
amet	c	cpd00017	-0.000223	-0.000223	-0.000223	-0.000223	-0.000223	-0.000223			S-Adenosyl-L-methionine	cofactor
amp	c	cpd00018							-0.00467	-0.001	AMP	cofactor
arg__L	c	cpd00051	-0.295792	-0.295792	-0.295792	-0.295792	-0.2958	-0.295792	-0.193021	-0.3237	L-Arginine	protein
asn__L	c	cpd00132	-0.241055	-0.241055	-0.241055	-0.241055	-0.2411	-0.241055	-0.147987	-0.2638	L-Asparagine	protein
asp__L	c	cpd00041	-0.241055	-0.241055	-0.241055	-0.241055	-0.2411	-0.241055	-0.148014	-0.2638	L-Aspartate	protein
atp	c	cpd00002	-54.124831	-54.124831	-54.124831	-54.124831	-59.984	-54.124831	-105.053483	-30.1846	ATP	energy
bmocogdp	c							-0.000122			Bis-molybdopterin guanine dinucleotide	cofactor
btn	c	cpd00104						-2E-06			Biotin	vitamin B7
